pl.p,IBRA,IBRAsub,planting,age,establishment,aridity.index,carbon,clay,elevation.relief,elevation,nitrogen,phosphorus,ph,prec.annual,prec.season,prescott,sand,silt,slope,soil.depth,solar.annual,tmax.annual,tmin.annual,TWI,tot.ag.mass,biomass.area,plant.count,density,rare.rich,rare.rich.se,alpha,SLA.cwm,WD.cwm,SM.cwm,MH.cwm,MH.FRr,SLA.FRr,SM.FRr,WD.FRr,SLA.FEs,WD.FEs,SM.FEs,MH.FEs,MH.FDs,SLA.FDs,SM.FDs,WD.FDs,FRv,FEm,FDm,log.age,log.aridity.index,log.prec.annual,log.prescott,log.density,best.cluster,mass.per.year
93,SEH,SEH12,36,6,TS,0.7250000238,4.1353106499,25.3111241659,26.0960693359,871,0.1281820089,0.0247766388,4.8485568364,870,15,0.8725319505,45.7422866821,21.0853328705,1.1836094856,0.8889765143,18.1303592537,18.4416666667,5.75,7.4576892853,2056.186697,12851.16685625,53,331.25,14.4410699981,1.3134467283,18,2.8838978609,1.7592705325,1.3264890012,-0.2676937543,2.2110178995,1.7494061159,3.474867138,0.5340758038,0.4805082121,0.5957557517,0.6133707317,0.5276653016,0.1833839103,0.237015103,0.4723853477,0.6196761703,7.9597526974,0.7357190827,0.8646293554,1.7917594692,-0.3215835912,6.7684932116,-0.1363560061,5.8028733773,4,0.7616751439
94,SEH,SEH12,36,6,TS,0.7250000238,4.1353106499,25.3111241659,26.0960693359,871,0.1281820089,0.0247766388,4.8485568364,870,15,0.8725319505,45.7422866821,21.0853328705,1.1836094856,0.8889765143,18.1303592537,18.4416666667,5.75,7.4576892853,1406.684689,8791.77930625,43,268.75,14.5247536142,1.1702535755,17,2.9380261193,1.7532905842,1.1949591613,-0.2908857178,2.2110178995,1.7352881282,3.2149262758,0.5340758038,0.4749690607,0.5704106362,0.6095978031,0.5247145439,0.3134968653,0.2389434146,0.6541354605,0.7115506408,6.786792606,0.8294102282,0.7620289949,1.7917594692,-0.3215835912,6.7684932116,-0.1363560061,5.5937815794,4,0.3820576459
95,SEH,SEH12,37,11,TS,0.7242524624,3.9927692413,24.0527216593,22.1361694336,836,0.126256749,0.0256529593,4.8818715413,872,15,0.8817949295,50.8474502563,22.2496852875,2.6483926773,0.9071340561,18.043680163,18.425,5.7416666667,7.8559026718,2679.384989,37213.6804027778,37,513.8888888889,16.2612129876,1.0085324163,18,2.8904181247,1.9023599991,1.0271371832,-0.312585159,2.7354491753,1.7615271144,7.0235756475,0.531311014,0.6221020566,0.5701169431,0.5338016646,0.4964187628,0.2108551666,0.3098022519,0.3521711028,0.4619715951,13.1316330023,0.7276536659,0.8117332085,2.3978952728,-0.3226152424,6.7707894239,-0.1257957562,6.2420070726,4,1.2187811736
96,SEH,SEH12,37,11,TS,0.7242524624,3.9927692413,24.0527216593,22.1361694336,836,0.126256749,0.0256529593,4.8818715413,872,15,0.8817949295,50.8474502563,22.2496852875,2.6483926773,0.9071340561,18.043680163,18.425,5.7416666667,7.8559026718,3509.046474,48736.7565833333,35,486.1111111111,15.785236822,0.8853967581,17,2.8184090355,1.8231411232,1.3389676678,-0.3282047133,2.7354491753,1.5884338288,5.4173548961,0.4236844169,0.5391279367,0.547175557,0.6134429919,0.4931619635,0.2400993381,0.473432447,0.5291563839,0.4849881726,10.7179233593,0.7462293822,0.8533633856,2.3978952728,-0.3226152424,6.7707894239,-0.1257957562,6.1864372215,4,1.4885382279
97,SEH,SEH12,37,11,TS,0.7242524624,3.9927692413,24.0527216593,22.1361694336,836,0.126256749,0.0256529593,4.8818715413,872,15,0.8817949295,50.8474502563,22.2496852875,2.6483926773,0.9071340561,18.043680163,18.425,5.7416666667,7.8559026718,3453.289274,92087.7139733333,35,933.3333333333,14.3535141329,0.6958828729,15,2.8535912776,1.9231337871,1.5874080113,-0.3467694006,1.3862943611,1.7352881282,4.7482093278,0.5340758038,0.6286945634,0.6504614157,0.516563722,0.6633775786,0.429229913,0.4551117323,0.3757550833,0.4634018727,8.0918232737,0.6954148782,0.832571967,2.3978952728,-0.3226152424,6.7707894239,-0.1257957562,6.8387624075,4,2.1248462628
98,SEH,SEH12,38,14,TS,0.7264462709,4.0920505524,23.3043645223,15.950012207,843,0.1361555109,0.0254149418,4.7753043175,879,15,0.8894317746,51.2618026733,21.299451828,1.1641489267,0.8939828873,17.7801835141,18.4833333333,5.7833333333,7.750869751,6467.829774,129356.59548,31,620,13.8064516129,0.3950789908,14,2.5850213403,2.0586059882,0.8385304655,-0.3192372421,2.7354491753,1.8479561355,6.4021455523,0.5685253203,0.5762135657,0.5522306688,0.5953321165,0.6072676684,0.1926523513,0.2497941865,0.5713941499,0.3133749629,7.593933591,0.8514876235,0.7833468827,2.6390573296,-0.3195907547,6.7787848977,-0.1171724756,6.429719478,4,2.2235155671
99,SEH,SEH12,39,8,TS,0.7191103697,3.9203133583,24.558971405,33.1608886719,824,0.1179787889,0.0237127207,4.8536067009,873,16,0.8831973076,47.198542277,22.1266994476,3.4195566177,0.8931249976,18.2473701821,18.5916666667,5.8583333333,7.8515658379,1522.303779,30446.07558,30,600,17,0,17,2.7834989859,2.0169164331,1.6589571554,-0.3772404796,2.4927557647,1.7352881282,4.7482093278,0.5340758038,0.7083090705,0.6586031286,0.5739445356,0.5182491287,0.2771055997,0.6011610528,0.363509313,0.3550877114,11.4174390502,0.7491155399,0.7993167078,2.0794415417,-0.3297404286,6.7719355558,-0.1242066519,6.3969296552,4,1.3365155634
100,SEH,SEH12,39,8,TS,0.7191103697,3.9203133583,24.558971405,33.1608886719,824,0.1179787889,0.0237127207,4.8536067009,873,16,0.8831973076,47.198542277,22.1266994476,3.4195566177,0.8931249976,18.2473701821,18.5916666667,5.8583333333,7.8515658379,2162.442238,43248.84476,33,660,16.2439516129,0.7192244422,17,2.6459477381,1.9859130657,1.2121716808,-0.3416522227,2.8124102164,1.7615271144,6.4021455523,0.4698056413,0.6537823302,0.6215483017,0.5757719376,0.6605905036,0.3258026608,0.2640656081,0.3958393201,0.5178542493,10.7504754322,0.7190867826,0.7879260092,2.0794415417,-0.3297404286,6.7719355558,-0.1242066519,6.492239835,4,1.6875289806
101,SEH,SEH12,40,12,TS,0.7491467595,4.6921796799,24.4715194702,34.4857788086,938,0.1370527645,0.0258649041,4.7065734863,878,15,0.9299483895,48.7508252462,21.865205129,3.5780513287,0.9273449183,18.127451738,17.85,5.6416666667,6.9763436317,1906.298392,47657.4598,34,850,3.9893048128,0.1028630164,4,3.7969493703,1.9775100693,0.8908628,-0.4189602307,0.7838448263,0.7901096401,0.8529290665,0.2806990403,0.4130367034,0.5787876201,0.7698555138,0.822325182,0.6568478328,0.1767997743,0.6867776933,0.8580423328,1.3536678611,0.8807410723,0.8942778216,2.4849066498,-0.2888203741,6.7776465936,-0.0726261895,6.7452363495,4,1.3791325221
102,SEH,SEH12,40,12,TS,0.7491467595,4.6921796799,24.4715194702,34.4857788086,938,0.1370527645,0.0258649041,4.7065734863,878,15,0.9299483895,48.7508252462,21.865205129,3.5780513287,0.9273449183,18.127451738,17.85,5.6416666667,6.9763436317,2367.888323,59197.208075,41,1025,3.7317054332,0.4430721452,4,3.8089059888,1.9878210546,0.8354044906,-0.4215548261,0.57993755,0.7901096401,0.8529290665,0.2742234908,0.2851182892,0.5597476608,0.701333892,0.9427081533,0,0,0.3338340239,0,0.9000234109,0.5353423846,0.797133786,2.4849066498,-0.2888203741,6.7776465936,-0.0726261895,6.9324478916,4,1.5959677301
103,SEH,SEH12,40,12,TS,0.7491467595,4.6921796799,24.4715194702,34.4857788086,938,0.1370527645,0.0258649041,4.7065734863,878,15,0.9299483895,48.7508252462,21.865205129,3.5780513287,0.9273449183,18.127451738,17.85,5.6416666667,6.9763436317,1756.033059,43900.826475,37,925,2.9999939779,0.0024539822,3,3.8244336769,1.9524754147,0.7648312495,-0.4242237673,0.57993755,0.7901096401,0.8529290665,0.2742234908,0.38502426,0.9735659425,0.3249368001,0.8976245745,0,0,0.3338340239,0,2.1183600818,0.6871901928,0.6055766823,2.4849066498,-0.2888203741,6.7776465936,-0.0726261895,6.8297937375,4,1.2970264964
104,SEH,SEH12,41,11,TS,0.7491467595,4.7044496536,23.7015908559,30.8775024414,925,0.1363910834,0.0256407857,4.6409465472,878,15,0.9206014872,47.3782196045,21.9648691813,3.462798357,0.9118813872,18.127451738,17.85,5.6416666667,8.0866479874,1067.265642,42690.62568,38,1520,7.9051676923,0.2978839444,8,3.1878706397,1.7804815678,0.1443096755,-0.3060462835,2.9957322736,1.8479561355,5.5378496218,0.5685253203,0.5388293992,0.6700870801,0.4630218131,0.556196841,0.2405242154,0.2438222203,0.1399251631,0.5488947323,1.745741278,0.7540834869,0.7825334888,2.3978952728,-0.2888203741,6.7776465936,-0.0827280322,7.3264656138,4,1.3560840842
105,SEH,SEH12,41,11,TS,0.7491467595,4.7044496536,23.7015908559,30.8775024414,925,0.1363910834,0.0256407857,4.6409465472,878,15,0.9206014872,47.3782196045,21.9648691813,3.462798357,0.9118813872,18.127451738,17.85,5.6416666667,8.0866479874,955.350727,38214.02908,34,1360,8.7519837847,0.4591591204,9,3.1786072057,1.7562750076,0.3903095605,-0.259450209,2.9957322736,1.8479561355,5.5378496218,0.5685253203,0.5708005806,0.6660180189,0.4715688806,0.5234172347,0.1451292011,0.2438222203,0.1148408647,0.5488947323,2.2192672685,0.5999033165,0.6379334194,2.3978952728,-0.2888203741,6.7776465936,-0.0827280322,7.2152399787,4,1.2453074288
106,SEH,SEH12,42,9,TS,0.7487179637,4.3103904724,25.0113824209,64.0731811523,923,0.1501502246,0.0286230824,4.7646589279,876,15,0.9891035557,45.9528923035,21.5098571777,5.5526337624,0.8933072686,17.1663659485,17.825,5.6083333333,7.9153528214,785.622649,31424.90596,35,1400,11.3765248035,0.6888278344,12,2.8730156743,1.9160927036,1.7843371318,-0.4031856341,2.7354491753,1.8479561355,5.4173548961,0.517269491,0.7050934809,0.5783937081,0.4053772137,0.5143845983,0.4096354106,0.4981851485,0.335076802,0.3702445907,6.6820013085,0.6454878277,0.8153187403,2.1972245773,-0.2893929169,6.7753660909,-0.0109562454,7.2442275156,4,1.2503761846
107,SEH,SEH12,43,8,TS,0.7289256454,3.6514174938,24.3963260651,19.7116088867,834,0.1346878832,0.0243784369,4.8281615575,882,15,0.8951213956,52.7436383565,22.086236318,1.4370085001,0.9298452139,18.1207082079,18.4666666667,5.75,10.5167503357,728.825124,14576.50248,31,620,11.8709677419,0.3352356402,12,3.3757725938,1.7644655563,0.6287176255,-0.3116339433,1.6094379124,1.1706294768,3.4840483839,0.4652587934,0.5404802018,0.5221136371,0.6091590192,0.5250293455,0.3530138709,0.3293413638,0.3659544905,0.4348545632,6.9872827291,0.7690051778,0.7076170162,2.0794415417,-0.3161835476,6.782192056,-0.1107959324,6.429719478,4,0.5999692714
108,SEH,SEH12,44,11,TS,0.7228714228,3.9835963249,24.0374635061,29.1964111328,839,0.1130554626,0.0218600525,4.7120896975,866,15,0.8764519691,49.9315020243,21.9969533285,3.7545089722,0.8849244714,17.9354656266,18.3166666667,5.7,9.2653846741,1364.899122,37913.8645,35,972.2222222222,9.5360962567,0.6071945582,10,3.1519215968,2.202939769,1.470114586,-0.3503717541,1.6739764336,1.5411252722,3.1129975132,0.5340758038,0.2824776932,0.4696769167,0.5165629369,0.491967983,0.1921076173,0.7975255095,0.544673884,0.4624290903,1.9013443362,0.5521749891,0.8624082949,2.3978952728,-0.3245239111,6.7638849086,-0.1318733746,6.879584402,4,1.2374215903
109,SEH,SEH12,44,11,TS,0.7228714228,3.9835963249,24.0374635061,29.1964111328,839,0.1130554626,0.0218600525,4.7120896975,866,15,0.8764519691,49.9315020243,21.9969533285,3.7545089722,0.8849244714,17.9354656266,18.3166666667,5.7,9.2653846741,1522.748826,42298.5785,38,1055.5555555556,9.5181333881,0.6070482699,10,3.2482238823,2.1036223633,1.2361763181,-0.3258712149,0.6931471806,1.5704672305,2.9974539062,0.5340758038,0.4611835676,0.5760416512,0.5455997368,0.4971949097,0.4639470998,0.8728153966,0.5666862354,0.4652781082,2.4018973336,0.6837615385,0.8804643202,2.3978952728,-0.3245239111,6.7638849086,-0.1318733746,6.9618225003,4,1.3468582075
110,SEQ,SEQ05,45,7,TS,0.6084967256,2.5471515656,26.4362570445,29.5463562012,81,0.1199937115,0.046060541,5.4106788635,931,41,0.7323246598,53.1173934937,15.9687255224,1.3505785465,1.0845786333,18.9300939049,26.2333333333,13.225,8.389714241,1674.831925,55827.7308333333,32,1066.6666666667,4,0,4,3.5353172278,1.7472001007,1.0363768714,-0.1056389266,0.5596157879,1.3976305149,1.5554742612,0.17436115,0.1151131848,0.5742544402,0.4707781289,0.5,0.5311707244,0.0369688066,0.9654028276,0.7336568325,2.2747401412,0.8540519896,0.8639644417,1.9459101491,-0.4967637477,6.8362592773,-0.311531339,6.9722938001,5,2.0763605652
111,SEQ,SEQ05,45,7,TS,0.6084967256,2.5471515656,26.4362570445,29.5463562012,81,0.1199937115,0.046060541,5.4106788635,931,41,0.7323246598,53.1173934937,15.9687255224,1.3505785465,1.0845786333,18.9300939049,26.2333333333,13.225,8.389714241,2171.662789,72388.7596333333,30,1000,4,0,4,3.3852570967,1.6207976206,0.7515828829,-0.0807098241,1.8325814637,0.6369075112,2.5081349002,0.2812095498,0.0682691481,0.2446191377,0.3077562479,0.4910640604,0.3053702108,0.166447667,0.1817857871,0.5701791301,0.8447861823,0.7635383932,0.8538532171,1.9459101491,-0.4967637477,6.8362592773,-0.311531339,6.907755279,5,2.3361408846
112,SEQ,SEQ05,45,7,TS,0.6084967256,2.5471515656,26.4362570445,29.5463562012,81,0.1199937115,0.046060541,5.4106788635,931,41,0.7323246598,53.1173934937,15.9687255224,1.3505785465,1.0845786333,18.9300939049,26.2333333333,13.225,8.389714241,1334.219241,44473.9747,33,1100,3.9090909091,0.2874797873,4,3.557099973,1.9854394574,0.8908517076,-0.0953149061,1.8325814637,1.3976305149,2.5081349002,0.2812095498,0.4495038616,0.8133626685,0.6535702,0.1844666445,0.1622037161,0.9241489305,0.6201716906,0.4050357308,1.7751199817,0.7848257421,0.8973817803,1.9459101491,-0.4967637477,6.8362592773,-0.311531339,7.0030654588,5,1.8489940308
113,BBS,BBS17,46,11,TS,0.4452458918,1.8515934944,36.4169947306,2.9926757813,401,0.087703834,0.0538568149,6.3649845123,679,41,0.6166270971,46.9151000977,12.7044804891,0.184945792,1.2601873875,19.1240226958,25,11.1166666667,13.4247131348,3520.910297,23472.7353133333,36,240,2.8333333333,0.3726779962,3,3.7046936374,1.9516831167,0.4807378953,-0.2457955432,0.9162907319,0.4054651081,2.07939052,0.2768760817,0.8516010087,0.642509136,0.2496139349,0.1039647255,0.0364325939,0.2099630719,0.0768290595,0.1488881274,2.4583377358,0.4949154821,0.9804348062,2.3978952728,-0.8091285836,6.5206211276,-0.4834908185,5.4806389233,5,0.7579442754
114,BBS,BBS17,46,11,TS,0.4452458918,1.8515934944,36.4169947306,2.9926757813,401,0.087703834,0.0538568149,6.3649845123,679,41,0.6166270971,46.9151000977,12.7044804891,0.184945792,1.2601873875,19.1240226958,25,11.1166666667,13.4247131348,5437.306676,36248.7111733333,30,200,4,0,4,3.8224372546,1.9397008075,0.7093487858,-0.258694239,0.9162907319,0.4054651081,2.07939052,0.2768760817,0.6465594312,0.6494899633,0.4347523178,0.0812348299,0.1092977818,0.4794032488,0.0659575766,0.4466643821,1.0098136129,0.3478459753,0.8657020293,2.3978952728,-0.8091285836,6.5206211276,-0.4834908185,5.2983173665,5,1.192508554
115,BBS,BBS17,46,11,TS,0.4452458918,1.8515934944,36.4169947306,2.9926757813,401,0.087703834,0.0538568149,6.3649845123,679,41,0.6166270971,46.9151000977,12.7044804891,0.184945792,1.2601873875,19.1240226958,25,11.1166666667,13.4247131348,2641.108586,17607.3905733333,37,246.6666666667,3.6210916799,0.546436249,4,3.8595258073,1.9904385709,0.7109722287,-0.2682440541,0.9162907319,0.4054651081,2.07939052,0.2934115211,0.6325638585,0.1968946823,0.5356551829,0.2062092927,0,0,0,0,1.2506915567,0.5600869266,0.9699286233,2.3978952728,-0.8091285836,6.5206211276,-0.4834908185,5.5080378975,5,0.47042346
116,NSS,NSS01,47,8,DS,0.5117513537,3.1521906853,16.5449740092,47.988861084,516,0.1553140978,0.0310619846,4.9250946045,675,11,0.7175197005,67.7066942851,14.1797555288,5.7194070816,0.8435829878,18.0799229518,20.6416666667,6.75,7.349729538,962.813421,24070.335525,173,4325,10.2246386174,1.3887002758,17,2.5993261264,1.8136703184,1.5145115301,-0.294000948,2.3795461341,1.8249122263,4.7959248008,0.4688717217,0.3376624786,0.3933823785,0.4258898583,0.4583066787,0.4646343572,0.2263732949,0.4266959013,0.2601016836,10.3426361169,0.6484213849,0.7041020349,2.0794415417,-0.6699164091,6.5147126909,-0.3319548745,8.3721674194,2,1.1015386496
117,NSS,NSS01,47,8,DS,0.5117513537,3.1521906853,16.5449740092,47.988861084,516,0.1553140978,0.0310619846,4.9250946045,675,11,0.7175197005,67.7066942851,14.1797555288,5.7194070816,0.8435829878,18.0799229518,20.6416666667,6.75,7.349729538,1235.844747,30896.118675,360,9000,11.6391241039,1.5401424194,19,2.4244118767,1.7487167897,1.1801724216,-0.2992459761,2.3795461341,1.8249122263,6.0282219387,0.4688717217,0.3793145141,0.5064721791,0.5658894417,0.4724497595,0.5142711118,0.2905075458,0.3890359245,0.2601016836,13.0817326333,0.6804520148,0.7418387745,2.0794415417,-0.6699164091,6.5147126909,-0.3319548745,9.1049798563,2,1.3511890251
118,NSS,NSS01,47,8,DS,0.5117513537,3.1521906853,16.5449740092,47.988861084,516,0.1553140978,0.0310619846,4.9250946045,675,11,0.7175197005,67.7066942851,14.1797555288,5.7194070816,0.8435829878,18.0799229518,20.6416666667,6.75,7.349729538,1087.527443,27188.186075,278,6950,9.536928503,1.5222929828,17,2.6070401074,1.7512502636,1.2048236858,-0.2851137446,2.3795461341,1.8249122263,4.7959248008,0.4688717217,0.4793365674,0.5253387914,0.5885524791,0.4777420221,0.4646343572,0.2256578212,0.2628307037,0.214937274,10.056046225,0.5867146993,0.6710116242,2.0794415417,-0.6699164091,6.5147126909,-0.3319548745,8.8464969386,2,1.2233410018
119,NSS,NSS01,48,8,DS,0.5117513537,3.5977907181,18.6293856303,48.5045776367,514,0.1608622322,0.0333607141,4.8666987419,675,11,0.7117015719,63.5876324972,14.5552422206,6.7239971161,0.8908196092,18.0799229518,20.6416666667,6.75,7.3176212311,1818.915491,45472.887275,299,7475,9.6963520546,1.5498309246,21,2.7742140055,1.7164950823,0.9692542318,-0.2598716831,2.3795461341,1.8249122263,4.7959248008,0.4688717217,0.2303403397,0.3736705122,0.4517473511,0.3898593815,0.4425648956,0.1291739836,0.0870849604,0.103759295,12.6585855605,0.5023356421,0.5933617605,2.0794415417,-0.6699164091,6.5147126909,-0.340096596,8.9193193983,2,1.7376747226
120,NSS,NSS01,48,8,DS,0.5117513537,3.5977907181,18.6293856303,48.5045776367,514,0.1608622322,0.0333607141,4.8666987419,675,11,0.7117015719,63.5876324972,14.5552422206,6.7239971161,0.8908196092,18.0799229518,20.6416666667,6.75,7.3176212311,2432.91177,60822.79425,425,10625,12.3201719696,1.6304644775,24,2.6938867992,1.7695726944,1.0059982009,-0.2611829551,2.9207328272,1.8249122263,4.7959248008,0.4688717217,0.4858556133,0.4311307862,0.549760465,0.4605030573,0.3785416037,0.2389846699,0.2219033848,0.2338421046,14.6692174705,0.6094175845,0.6617448478,2.0794415417,-0.6699164091,6.5147126909,-0.340096596,9.2709649938,2,2.0285230825
121,NSS,NSS01,48,8,DS,0.5117513537,3.5977907181,18.6293856303,48.5045776367,514,0.1608622322,0.0333607141,4.8666987419,675,11,0.7117015719,63.5876324972,14.5552422206,6.7239971161,0.8908196092,18.0799229518,20.6416666667,6.75,7.3176212311,1809.55319,45238.82975,319,7975,12.3537424063,1.5388263638,21,2.6363367383,1.7700856971,0.8850324488,-0.2624699389,2.3795461341,1.8249122263,4.7959248008,0.4688717217,0.6097087783,0.4292540886,0.524064087,0.4547248166,0.4646343572,0.2389846699,0.2219033848,0.2338421046,13.9509427585,0.5635782722,0.6543225128,2.0794415417,-0.6699164091,6.5147126909,-0.340096596,8.9840669277,2,1.7325142416
122,NSS,NSS01,49,18,DS,0.5339953899,2.8616690636,18.9260438283,38.9530029297,546,0.1322301378,0.0346936509,5.0522203445,699,11,0.7336357236,63.4183807373,15.5535564423,1.3957122564,0.9116563797,18.5426296572,20.4416666667,6.5833333333,9.117688179,2122.219282,53055.48205,56,1400,13.3207736752,1.4329954713,18,2.6642830388,1.8616341313,1.3292054426,-0.248569394,2.5812984955,1.1706294768,4.4279966457,0.5347357062,0.3017866789,0.5217883559,0.5093914584,0.4291183772,0.4064299979,0.5184150804,0.604594228,0.4894899318,9.2226909398,0.6866132718,0.9023342863,2.8903717579,-0.6273680731,6.5496507422,-0.3097426629,7.2442275156,2,1.0809664392
123,NSS,NSS01,49,18,DS,0.5339953899,2.8616690636,18.9260438283,38.9530029297,546,0.1322301378,0.0346936509,5.0522203445,699,11,0.7336357236,63.4183807373,15.5535564423,1.3957122564,0.9116563797,18.5426296572,20.4416666667,6.5833333333,9.117688179,2036.803681,50920.092025,50,1250,14.6577594929,1.290472708,18,2.7513973395,1.763806092,1.1876228415,-0.2265966122,2.1484344132,0.8953365001,3.8617498367,0.5347357062,0.4753295557,0.5395615953,0.5960553851,0.4227348038,0.4612829785,0.5921246059,0.6333821756,0.520919127,6.0526871418,0.6993810116,0.760829907,2.8903717579,-0.6273680731,6.5496507422,-0.3097426629,7.1308988303,2,1.039885823
124,NSS,NSS01,49,18,DS,0.5339953899,2.8616690636,18.9260438283,38.9530029297,546,0.1322301378,0.0346936509,5.0522203445,699,11,0.7336357236,63.4183807373,15.5535564423,1.3957122564,0.9116563797,18.5426296572,20.4416666667,6.5833333333,9.117688179,2363.11951,59077.98775,47,1175,15.9090136013,1.2475256005,19,2.6442033422,1.7461606881,1.3982838798,-0.2566621496,2.5812984955,0.8953365001,4.7482093278,0.5161988213,0.5246776198,0.5318605034,0.594078097,0.4507611526,0.4006021657,0.7761508354,0.3760156632,0.507067691,6.9061651533,0.7473189544,0.885685482,2.8903717579,-0.6273680731,6.5496507422,-0.3097426629,7.0690234266,2,1.1884866394
125,NSS,NSS01,50,8,DS,0.5223993659,3.3305540085,23.2099208832,25.3377075195,517,0.1574975103,0.0400448516,5.0623957316,688,11,0.6950162053,62.5148696899,15.3996833165,1.4753979445,0.9504589438,18.6128266268,20.5416666667,6.6333333333,8.5759429932,1507.659448,47114.35775,72,2250,12.5976324832,1.386216044,17,2.8896582029,1.7829127978,1.1007941453,-0.2480046829,2.5812984955,1.4546962511,4.2372802226,0.4353561249,0.5117129438,0.5398160276,0.4205464999,0.4747290066,0.3161026199,0.4273634722,0.5837471802,0.5713402444,8.8889002291,0.7404380343,0.8247685956,2.0794415417,-0.6493229148,6.5337888379,-0.3638201167,7.7186854952,2,1.7731362483
126,NSS,NSS01,50,8,DS,0.5223993659,3.3305540085,23.2099208832,25.3377075195,517,0.1574975103,0.0400448516,5.0623957316,688,11,0.6950162053,62.5148696899,15.3996833165,1.4753979445,0.9504589438,18.6128266268,20.5416666667,6.6333333333,8.5759429932,2243.736872,70116.77725,84,2625,15.2251215349,1.5554975627,22,2.8272230543,1.8927953878,1.2054148073,-0.2842696278,2.5812984955,1.6488591071,4.7482093278,0.577704194,0.5421372792,0.5199936601,0.524661785,0.4683461181,0.4810420548,0.2955900128,0.5389501866,0.5311209467,13.5633641744,0.7205888,0.8889696293,2.0794415417,-0.6493229148,6.5337888379,-0.3638201167,7.872836175,2,2.1707205568
127,NSS,NSS01,50,8,DS,0.5223993659,3.3305540085,23.2099208832,25.3377075195,517,0.1574975103,0.0400448516,5.0623957316,688,11,0.6950162053,62.5148696899,15.3996833165,1.4753979445,0.9504589438,18.6128266268,20.5416666667,6.6333333333,8.5759429932,2132.780593,66649.39353125,81,2531.25,13.8943288726,1.4535416601,19,2.5248579066,1.8527896093,1.4080124859,-0.2953379874,2.1484344132,1.4546962511,4.7482093278,0.5347357062,0.3851292325,0.5033808597,0.4959642925,0.5108278809,0.4793796595,0.4171812321,0.5669942115,0.3781327267,9.7572167545,0.6765617744,0.7838866181,2.0794415417,-0.6493229148,6.5337888379,-0.3638201167,7.8364685309,2,2.1200044056
128,VIM,VIM01,51,15,DS,0.5183973908,5.6610994339,19.3102000554,27.7704982758,238,0.1557530761,0.0262141439,4.8487566312,634,22,0.7288671136,60.0700759888,15.9699424108,4.5942492485,0.913318038,16.9175246546,20.1833333333,8.125,6.7401180267,2357.393182,26193.2575777778,178,1977.7777777778,5.5166922343,1.0112246792,9,2.2416835477,1.3975609976,-0.3209386318,-0.2461082666,1.699081719,0.9269820403,4.2621307889,0.3157881283,0.6150669052,0.2474955867,0.5819336794,0.5336073042,0.4921764591,0.4294059795,0.5058127689,0,2.8812734547,0.6446089159,0.9263954417,2.7080502011,-0.6570131671,6.4520489544,-0.3162638495,7.5897291589,2,0.5574518322
129,RIV,RIV04,52,8,DS,0.4669811428,3.0383572578,29.1633688609,0.8164825439,131,0.1356397395,0.0302599557,4.9582826296,594,22,0.6473627687,48.6407318115,14.6374588013,0.0181106701,1.0638473034,17.3855409455,20.9666666667,8.525,10.1360883713,3328.784023,36986.4891444445,168,1866.6666666667,3.4786322681,0.5549057981,4,2.5891511198,1.5672478489,1.5388052923,-0.3719186856,1.6845133177,0.811855958,2.7485443667,0.2342762995,0.2062892534,0.8300039564,0.5621045691,0.8545584515,0.6437803423,0.1701523944,1,0.7460452959,2.4427009794,0.8293722521,0.8704454457,2.0794415417,-0.7614664017,6.3868793194,-0.4348484482,7.5319095881,2,1.531111146
130,COP,COP05,53,7,NA,0.2997960448,1.1995587349,30.797876358,0.91456604,169,0.0631352887,0.0223920234,5.8446787198,441,14,0.4190361798,58.0437138875,9.8682791392,0.078161113,1.13253057,19.440491986,24.3666666667,10.925,12.5611343384,6371.38,106189.666666667,457,7616.6666666667,2.9372804995,0.2424577592,3,2.4229604641,1.1615527094,-0.4280541303,0.0253573145,0.4054651081,0.1089848259,1.1862087855,0.0112809787,0.7472105817,0.7696304778,0.15835659,0.7215770781,0.7401489954,1,0.1321691142,0.5014101149,3.2487435147,0.7926787257,0.8453452735,1.9459101491,-1.2046528861,6.0890448754,-0.8697980149,8.9380941077,1,2.7193166543
131,COP,COP05,53,7,NA,0.2997960448,1.1995587349,30.797876358,0.91456604,169,0.0631352887,0.0223920234,5.8446787198,441,14,0.4190361798,58.0437138875,9.8682791392,0.078161113,1.13253057,19.440491986,24.3666666667,10.925,12.5611343384,6596.58,91619.1666666667,496,6888.8888888889,2.994231898,0.0757286689,3,2.3953500677,1.1641821065,-0.3582139485,0.0261247393,0.4054651081,0.1089848259,1.1862087855,0.0112809787,0.8011519019,0.8614606725,0.1698881849,0.6363243471,0.7401489954,1,0.1321691142,0.5014101149,3.2487435147,0.8852802448,0.8448734993,1.9459101491,-1.2046528861,6.0890448754,-0.8697980149,8.8376650867,1,2.5717303438
132,COP,COP05,53,7,NA,0.2997960448,1.1995587349,30.797876358,0.91456604,169,0.0631352887,0.0223920234,5.8446787198,441,14,0.4190361798,58.0437138875,9.8682791392,0.078161113,1.13253057,19.440491986,24.3666666667,10.925,12.5611343384,5525.85,153495.833333333,371,10305.5555555556,1.9999997633,0.0004865484,2,2.4174499235,1.1728531556,-0.5368602714,0.0251506508,0.3001045925,0.1089848259,0.1567801644,0.0056563968,NA,NA,NA,NA,1,1,1,1,2.8284271247,0,0,1.9459101491,-1.2046528861,6.0890448754,-0.8697980149,9.2404384031,1,3.0877632732
